Date;gold;silver
1993/11/01;369.25;4.25
1993/12/01;376.3;4.62
1994/01/01;394;5.24
1994/02/01;384.5;5.31
1994/03/01;378.75;5.32
1994/04/01;391;5.78
1994/05/01;376.7;5.33
1994/06/01;383.8;5.34
1994/07/01;387.2;5.42
1994/08/01;384;5.33
1994/09/01;387.3;5.42
1994/10/01;396;5.67
1994/11/01;384.6;5.3
1994/12/01;380.25;4.94
1995/01/01;383;4.9
1995/02/01;376.2;4.68
1995/03/01;374.9;4.42
1995/04/01;392;5.31
1995/05/01;388.1;5.87
1995/06/01;385.05;5.37
1995/07/01;385;5.1
1995/08/01;383.5;5.18
1995/09/01;381.05;5.33
1995/10/01;382.5;5.3
1995/11/01;382.5;5.33
1995/12/01;386.6;5.22
1996/01/01;387.1;5.15
1996/02/01;411.6;5.79
1996/03/01;398.9;5.52
1996/04/01;394.9;5.55
1996/05/01;393.05;5.37
1996/06/01;390.55;5.37
1996/07/01;382;5.07
1996/08/01;385.5;5.12
1996/09/01;387;5.18
1996/10/01;378.75;4.9
1996/11/01;378.25;4.81
1996/12/01;368.2;4.695
1997/01/01;369.65;4.78
1997/02/01;346.65;4.91
1997/03/01;361.8;5.29
1997/04/01;351.95;5
1997/05/01;340.45;4.76
1997/06/01;344.45;4.74
1997/07/01;334.15;4.66
1997/08/01;324.75;4.48
1997/09/01;324.55;4.66
1997/10/01;333.75;5.18
1997/11/01;313.55;4.85
1997/12/01;293.45;5.31
1998/01/01;288.75;6
1998/02/01;303;6.35
1998/03/01;299.5;6.605
1998/04/01;299.35;6.375
1998/05/01;302.25;6.155
1998/06/01;288.45;5.085
1998/07/01;296.45;5.475
1998/08/01;282.95;5.365
1998/09/01;278.85;4.805
1998/10/01;299.85;5.305
1998/11/01;290;5.045
1998/12/01;293.75;4.88
1999/01/01;287.75;5.045
1999/02/01;288.85;5.32
1999/03/01;286.4;5.555
1999/04/01;280.45;5.035
1999/05/01;286.35;5.425
1999/06/01;267.65;4.985
1999/07/01;263.4;5.265
1999/08/01;255.15;5.37
1999/09/01;253.85;5.135
1999/10/01;309;5.59
1999/11/01;290.25;5.2
1999/12/01;289.5;5.17
2000/01/01;289;5.405
2000/02/01;282.63;5.195
2000/03/01;289.75;5.08
2000/04/01;278.2;5.03
2000/05/01;273.35;5.02
2000/06/01;272.8;4.895
2000/07/01;288.35;5
2000/08/01;277.35;4.985
2000/09/01;276.75;4.96
2000/10/01;273.45;4.88
2000/11/01;264.8;4.76
2000/12/01;269.4;4.65
2001/01/01;272.5;4.6
2001/02/01;268.75;4.795
2001/03/01;265.65;4.42
2001/04/01;255.55;4.32
2001/05/01;264.55;4.37
2001/06/01;267.05;4.42
2001/07/01;269.55;4.29
2001/08/01;267.55;4.24
2001/09/01;273.5;4.19
2001/10/01;291.7;4.64
2001/11/01;279.65;4.22
2001/12/01;277.25;4.24
2002/01/01;278.95;4.62
2002/02/01;286.25;4.31
2002/03/01;298.15;4.53
2002/04/01;303.35;4.68
2002/05/01;308.75;4.56
2002/06/01;327.65;5.08
2002/07/01;315.15;4.872
2002/08/01;304.65;4.58
2002/09/01;312.25;4.47
2002/10/01;320.35;4.485
2002/11/01;319.75;4.505
2002/12/01;317.85;4.4426
2003/01/01;348.05;4.78
2003/02/01;371.05;4.84
2003/03/01;349.05;4.66
2003/04/01;334.95;4.43
2003/05/01;341.75;4.76
2003/06/01;365.85;4.5
2003/07/01;350.75;4.5748
2003/08/01;346.15;5.092
2003/09/01;375.55;5.15
2003/10/01;384.75;5.095
2003/11/01;376.65;4.92
2003/12/01;402.25;5.46
2004/01/01;415.85;5.94
2004/02/01;398.35;6.035
2004/03/01;399.55;6.93
2004/04/01;425.9;8.13
2004/05/01;387.15;6.01
2004/06/01;394.65;6.055
2004/07/01;395.95;5.93
2004/08/01;392.15;6.58
2004/09/01;408.85;6.775
2004/10/01;419.47;6.915
2004/11/01;427.55;7.285
2004/12/01;454.75;8.015
2005/01/01;429.55;6.485
2005/02/01;421.13;6.72
2005/03/01;432.6;7.22
2005/04/01;426.25;7.005
2005/05/01;429.8;6.835
2005/06/01;415.4;7.465
2005/07/01;427.4;6.8675
2005/08/01;432.2;7.27
2005/09/01;443.25;6.98
2005/10/01;465.95;7.395
2005/11/01;459.15;7.445
2005/12/01;503.9;8.51
2006/01/01;516.88;8.87
2006/02/01;569.35;9.765
2006/03/01;562.95;9.745
2006/04/01;587.85;11.735
2006/05/01;655.1;13.84
2006/06/01;629.6;12.04
2006/07/01;623.5;11.33
2006/08/01;646.85;11.76
2006/09/01;625.45;12.945
2006/10/01;596.7;11.495
2006/11/01;617.6;12.46
2006/12/01;645.6;14.015
2007/01/01;636.8;12.925
2007/02/01;657.2;13.645
2007/03/01;664.45;13.625
2007/04/01;664;13.285
2007/05/01;673.45;13.255
